FullName,Note,Android,iOS,Editor
LuaBinder,,False,False,False
LuaDelegates,,False,False,False
LuaInterface.DelegateFactory,无需导出，导出类支持lua函数转换为委托。如UIEventListener.OnClick(luafunc),False,False,False
LuaInterface.EventObject,可以导出的内部支持类型,True,True,True
LuaInterface.LuaByteBuffer,只是类型标识符,False,False,False
LuaInterface.LuaFunction,ToLua内部支持,False,False,False
LuaInterface.LuaTable,ToLua内部支持,False,False,False
LuaInterface.LuaThread,ToLua内部支持,False,False,False
LuaInterface.NullObject,ToLua内部支持,False,False,False
System.Collections.IEnumerator,可以导出的内部支持类型,True,True,True
System.DateTime,,True,True,True
System.Delegate,可以导出的内部支持类型,True,True,True
System.Enum,可以导出的内部支持类型,True,True,True
System.Object,可以导出的内部支持类型,True,True,True
System.String,可以导出的内部支持类型,False,False,False
System.TimeSpan,可以导出的内部支持类型,True,True,True
System.Type,可以导出的内部支持类型,False,False,False
TMPro.TMP_EditorResourceManager,,False,False,False
TMPro.TMP_FontAssetUtilities,,False,False,False
TMPro.TMP_PackageResourceImporter,,False,False,False
TMPro.TMP_PackageResourceImporterWindow,,False,False,False
UnityEngine.AndroidActivityIndicatorStyle,,True,False,False
UnityEngine.AndroidInput,,True,False,False
UnityEngine.Animations.AnimationPlayableExtensions,,False,False,False
UnityEngine.Animations.AnimationScriptPlayable,,False,False,False
UnityEngine.Bounds,ToLua内部支持,False,False,False
UnityEngine.Caching,,False,False,False
UnityEngine.CanvasRenderer.OnRequestRebuild,Editor only,False,False,False
UnityEngine.ClusterInput,,False,False,False
UnityEngine.ClusterInputType,,False,False,False
UnityEngine.ClusterNetwork,,False,False,False
UnityEngine.Color,ToLua内部支持,False,False,False
UnityEngine.CustomYieldInstruction,,False,False,False
UnityEngine.DrivenRectTransformTracker,,False,False,False
UnityEngine.EventProvider,,False,False,False
UnityEngine.HashUnsafeUtilities,,False,False,False
UnityEngine.InputManagerEntry,,False,False,False
UnityEngine.InputManagerEntry.Axis,,False,False,False
UnityEngine.InputManagerEntry.Joy,,False,False,False
UnityEngine.InputManagerEntry.Kind,,False,False,False
UnityEngine.InputRegistering,,False,False,False
UnityEngine.iPhoneUtils,Obsolete,False,False,False
UnityEngine.LayerMask,ToLua内部支持,False,False,False
UnityEngine.Mathf,ToLua内部支持,False,False,False
UnityEngine.Plane,ToLua内部支持,False,False,False
UnityEngine.Playables.PlayableExtensions,,False,False,False
UnityEngine.Playables.PlayableGraph,,False,False,False
UnityEngine.Playables.PlayableOutputExtensions,,False,False,False
UnityEngine.Quaternion,ToLua内部支持,False,False,False
UnityEngine.Ray,ToLua内部支持,False,False,False
UnityEngine.RaycastHit,ToLua内部支持,False,False,False
UnityEngine.Rendering.CoreRenderPipelinePreferences,,False,False,False
UnityEngine.Rendering.CoreUnsafeUtils,,False,False,False
UnityEngine.Rendering.PostProcessing.PostProcessResources.ChangeHandler,Editor only,False,False,False
UnityEngine.Rendering.ReloadAttribute,,False,False,False
UnityEngine.Rendering.ResourceReloader,,False,False,False
UnityEngine.Rendering.Universal.UniversalRenderPipelineAsset,,False,False,False
UnityEngine.Tilemaps.Tilemap.SyncTile,,False,False,False
UnityEngine.Touch,ToLua内部支持,False,False,False
UnityEngine.TouchPhase,ToLua内部支持,False,False,False
UnityEngine.UI.Graphic.OnRequestRebuild,Editor only,False,False,False
UnityEngine.UI.GraphicRebuildTracker,Editor only,False,False,False
UnityEngine.UI.Text.OnRequestRebuild,Editor only,False,False,False
UnityEngine.UnityAPICompatibilityVersionAttribute,,False,False,False
UnityEngine.UserAuthorization,,False,False,False
UnityEngine.Vector2,ToLua内部支持,False,False,False
UnityEngine.Vector3,ToLua内部支持,False,False,False
UnityEngine.Vector4,ToLua内部支持,False,False,False
UnityEngine.WaitForEndOfFrame,ToLua内部支持,False,False,False
UnityEngine.WaitForFixedUpdate,ToLua内部支持,False,False,False
UnityEngine.WaitForSeconds,ToLua内部支持,False,False,False
UnityEngine.YieldInstruction,ToLua内部支持,False,False,False
